"Abraham Bradley, Jr.",Hannah Smith
"Anne de Mowbray, 8th Countess of Norfolk","Richard ''of Shrewsbury'', 1st Duke of York"
"Anne de Mowbray, 8th Countess of Norfolk","Richard of Shrewsbury, 1st Duke of York"
"Anne of Austria, Margravine of Brandenburg","Herman, Margrave of Brandenburg-Salzwedel"
"Anne of Austria, Margravine of Brandenburg",Henry VI the Good
"Anne of Austria, Queen of Poland",Sigismund III Vasa
"Anne of Denmark, Electress of Saxony","Augustus, Elector of Saxony"
"Anne of York, Countess of Surrey","Thomas Howard, 2nd Earl of Surrey"
"Anne of York, Countess of Surrey","Thomas Howard, 3rd Duke of Norfolk"
"Anne of York, Countess of Surrey",(later 3rd Duke of Norfolk)
"Anne of York, Duchess of Exeter","Henry Holland, 3rd Duke of Exeter"
"Anne of York, Duchess of Exeter",Sir
"Anne of York, Duchess of Exeter",Thomas St. Leger
"Anne of York, Duchess of Exeter",m. 1447; div. 1472
"Anne of York, Duchess of Exeter",m. 1474; wid. 1476
"Anne, Duchess of Cumberland and Strathearn","Prince Henry, Duke of Cumberland and Strathearn"
"Anne, Princess Royal and Princess of Orange","William IV, Prince of Orange"
"Anne, Princess Royal","(m. 1973, div. 1992)"
"Anne, Princess Royal",(m. 1992)
"Anne, Princess Royal",Mark Phillips
"Anne, Princess Royal",Timothy Laurence
"Anselm Franz, 2nd Prince of Thurn and Taxis","Maria Ludovika Anna Franziska, Princess of Lobkowicz"
"Anthony Greenwood, Baron Greenwood of Rossendale",Jillian Crawshay-Williams
"Anthony Joseph Drexel Biddle, Jr.",Mary Duke Biddle
"Anthony Joseph Drexel Biddle, Jr.",Mary Lillian Duke
"Anthony Joseph Drexel Biddle, Jr.",and Margaret Thompson Schulze
"Anthony Joseph Drexel Biddle, Sr.",Cordelia Rundell Bradley
"Anthony Soprano, Jr.",(ex-girlfriend)
"Anthony Soprano, Jr.",(girlfriend)
"Anthony Soprano, Jr.",Blanca Selgado
"Anthony Soprano, Jr.",Devin Pillsbury
"Anthony Soprano, Jr.",List of characters from The Sopranos - Friends and Family#Blanca Selgado
"Anthony Soprano, Jr.",List of characters from The Sopranos - Friends and Family#Devin Pillsbury
"Anthony Soprano, Jr.",List of characters from The Sopranos - Friends and Family#Rhiannon Flammer
"Anthony Soprano, Jr.",Rhiannon Flammer
"Antoine Marie Chamans, comte de Lavalette",Madame Lavalette
"Anton Ulrich, Duke of Saxe-Meiningen",Charlotte Amalie of Hesse-Philippsthal
"Anton Ulrich, Duke of Saxe-Meiningen",Philippine Elisabeth Caesar
"Antonio Farnese, Duke of Parma",Enrichetta d'Este
"Antonio Sabàto, Jr.",Alicia Tully Jensen
"Antonio Sabàto, Jr.",Tully Jensen
"Antonio Sebastián de Toledo, 2nd Marquis of Mancera",Juliana Teresa de Meneses
"Antony Armstrong-Jones, 1st Earl of Snowdon","Princess Margaret, Countess of Snowdon"
"Antony Armstrong-Jones, 1st Earl of Snowdon",(m.1960 div.1978)
"Antony Armstrong-Jones, 1st Earl of Snowdon",(m.1978 div.2000)
"Antony Armstrong-Jones, 1st Earl of Snowdon",Lucy Lindsay-Hogg
"Antony Armstrong-Jones, 1st Earl of Snowdon",Princess Margaret
"Antony Head, 1st Viscount Head",Lady Dorothea Ashley-Cooper
"Aquilino Pimentel, Jr.",Lourdes de la Llana
"Arch A. Moore, Jr.",Shelley Riley Moore
"Arch Hall, Sr.",1934
"Arch Hall, Sr.",1978
"Arch Hall, Sr.",Addalyn Pollitt
"Archduchess Maria Christina, Duchess of Teschen","Prince Albert of Saxony, Duke of Teschen"
"Archduke Charles, Duke of Teschen",Princess Henrietta of Nassau-Weilburg
"Archduke Joseph, Palatine of Hungary",Alexandra Pavlovna of Russia
"Archduke Joseph, Palatine of Hungary",Hermine Prinzessin von Anhalt-Bernburg-Schaumburg-Hoym
"Archduke Joseph, Palatine of Hungary",Princess Hermine of Anhalt-Bernburg-Schaumburg-Hoym
"Archduke Sigismund, Grand Duke of Tuscany",Elyssa Edmonstone
"Archibald Campbell, 1st Marquess of Argyll",Lady Margaret Douglas
"Archibald Montgomerie, 11th Earl of Eglinton",Frances Twysden (1783 &ndash; 1796)
"Archibald Montgomerie, 11th Earl of Eglinton",Jean (Jane) Lindsay (1772 &ndash; 1778)
"Archibald Montgomerie, 13th Earl of Eglinton",(1) Hon. Theresa Newcomen
"Archibald Montgomerie, 13th Earl of Eglinton",(1828-1860)
"Archibald Montgomerie, 13th Earl of Eglinton",(2) Lady Adela Capel
"Archibald Montgomerie, 13th Earl of Eglinton",(d. 1853)
"Archibald Primrose, 5th Earl of Rosebery","Hannah Primrose, Countess of Rosebery"
"Archibald Primrose, 5th Earl of Rosebery",Hannah de Rothschild
"Archibald Sinclair, 1st Viscount Thurso",Marigold Forbes
"Archy Kirkwood, Baron Kirkwood of Kirkhope",Rosemary Chester
"Aretas Akers-Douglas, 1st Viscount Chilston",(d. 1929)
"Aretas Akers-Douglas, 1st Viscount Chilston",Adeline Austen-Smith
"Aretas Akers-Douglas, 2nd Viscount Chilston",Amy Jennings-Bramly (d. 1962)
"Armin, Prince of Lippe",Traute Becker
"Arthur A. Seeligson, Jr.",Linda Nixon
"Arthur B. Culvahouse, Jr.",2002
"Arthur B. Culvahouse, Jr.",Pamela Culvahouse
"Arthur D. Collins, Jr.",Anne
"Arthur Hamilton, Lord Hamilton",Christine
"Arthur Hope, 2nd Baron Rankeillour",Grizel Gilmour (1919-58)
"Arthur Hornblow, Jr.",(1936-1942)
"Arthur Hornblow, Jr.",Juliette Crosby (m.1924)
"Arthur Hornblow, Jr.",Leonora Schinasi (1945-1976)
"Arthur Hornblow, Jr.",Myrna Loy
"Arthur L. Williams, Jr.",Angela Williams
"Arthur Lawley, 6th Baron Wenlock",Annie Conard
"Arthur Peel, 1st Viscount Peel",Adelaide Dugdale (d. 1890)
"Arthur Stanley, 5th Baron Sheffield",Margaret Evelyn Evans Gordon
"Arthur Wellesley, 2nd Duke of Wellington","Elizabeth Wellesley, Duchess of Wellington"
"Arthur Wellesley, 2nd Duke of Wellington",Lady Elizabeth Hay
"Arthur Wellesley, 4th Duke of Wellington",Kathleen Emily Bulkeley-Williams
"Arthur Wellesley, 5th Duke of Wellington",Lilian Coats
"Arthur Wellesley, 8th Duke of Wellington",Diana McConnel (b.1918)
"Arthur Wellesley, Earl of Mornington","Jemma Wellesley, Countess of Mornington"
"Arthur Wellesley, Earl of Mornington",Jemma Kidd
"Arthur, Prince of Wales",Catherine of Aragon
"Asahiko, Prince Kuni",Harada Mitsue
"Asahiko, Prince Kuni",Izumi Makiko
"Asahiko, Prince Kuni",Izumitei Shizue
"Asahiko, Prince Kuni",Tarao Utako
"Asahiko, Prince Kuni",Tsunoda Sugako.
"Auberon Herbert, 9th Baron Lucas",Unmarried
"Auckland Geddes, 1st Baron Geddes",Isabella Ross
"Audrey Callaghan, Baroness Callaghan of Cardiff",James Callaghan
"August Anheuser Busch, Sr.",Alice Ziesemann
"August Belmont, Jr.",(1879-1979)
"August Belmont, Jr.",1 Elizabeth Hamilton Morgan (1862-1898)
"August Belmont, Jr.",Eleanor Robson
"August Belmont, Jr.",Eleanor Robson Belmont
"Auguste de Beauharnais, 2nd Duke of Leuchtenberg",Maria II of Portugal
"Augustine Warner, Jr.",Elizabeth Reade
"Augustus Hervey, 3rd Earl of Bristol","Elizabeth Chudleigh, Duchess of Kingston"
"Augustus Hervey, 3rd Earl of Bristol",Elizabeth Chudleigh
"Augustus, Duke of Saxe-Gotha-Altenburg",Karoline Amalie of Hesse-Kassel
"Augustus, Duke of Saxe-Gotha-Altenburg",Louise Charlotte of Mecklenburg-Schwerin
"Augustus, Duke of Saxe-Lauenburg",(1) Elisabeth Sophia of
"Augustus, Duke of Saxe-Lauenburg",(2) Catherine of
"Augustus, Duke of Saxe-Lauenburg",Oldenburg
"Augustus, Duke of Saxe-Lauenburg",Oldenburg (state)
"Augustus, Duke of Saxe-Lauenburg",Schleswig-Holstein-Gottorp
"Augustus, Elector of Saxony",Agnes Hedwig of Anhalt
"Augustus, Elector of Saxony",Anna of Denmark
"Augustus, Grand Duke of Oldenburg",(1831-1844)
"Augustus, Grand Duke of Oldenburg",Adelheid of Anhalt-Bernburg-Schaumburg-Hoym
"Augustus, Grand Duke of Oldenburg",Cecilia of Sweden
"Augustus, Grand Duke of Oldenburg",Ida of Anhalt-Bernburg-Schaumburg-Hoym
"Augustus, Grand Duke of Oldenburg",Princess Adelheid of Anhalt-Bernburg-Schaumburg-Hoym
"Augustus, Grand Duke of Oldenburg",Princess Ida of Anhalt-Bernburg-Schaumburg-Hoym
"B. F. O'Neal, Jr.",Nancy Johns O'Neal
"Bangja, Crown Princess Euimin of Korea",(28 April 1920 &ndash; 1 May 1970)
"Bangja, Crown Princess Euimin of Korea",Crown Prince Euimin
"Barbara Castle, Baroness Castle of Blackburn",Ted Castle
"Barbara Palmer, 1st Duchess of Cleveland","Roger Palmer, 1st Earl of Castlemaine"
"Barry Goldwater, Jr.",Sylvia Delucia
"Beatrice Mills Forbes, 8th Countess of Granard","Bernard Forbes, 8th Earl of Granard"
"Beatrice d'Este, Queen of Hungary",Andrew II of Hungary
"Beatrice de Montfort, Countess of Montfort-l'Amaury",", Count of Dreux, Braine and Montfort-l'Amaury"
"Beatrice de Montfort, Countess of Montfort-l'Amaury",Robert IV of Dreux
"Beatrice of Portugal, Duchess of Savoy","Charles III, Duke of Savoy"
"Beilby Lawley, 3rd Baron Wenlock",Lady Constance Mary Lascelles (1882-1912)
"Ben Hill Griffin, Jr.",Eleanor Griffin
"Benedetto, Duke of Chablais",Princess Maria Ana of Savoy
"Benedict Calvert, 4th Baron Baltimore","Charlotte Lee, Lady Baltimore"
"Benigno Aquino, Jr.",Corazon Aquino
"Benigno Aquino, Jr.",Corazon C. Aquino
"Benigno Aquino, Sr.",(first)
"Benigno Aquino, Sr.",(second)
"Benigno Aquino, Sr.",Aurora Aquino
"Benigno Aquino, Sr.",Maria Urquico
"Benjamin Abalos, Jr.",Carmelita Aguilar
"Benjamin Hall, 1st Baron Llanover","Augusta Hall, Baroness Llanover"
"Benjamin Hall, 1st Baron Llanover",(1802-1896)
"Benjamin Hall, 1st Baron Llanover",Augusta Waddington
"Benjamin Pickman, Jr.",Anstiss Derby
"Bennett Johnston, Jr.",Mary Gunn Johnston
"Bernard Fitzalan-Howard, 16th Duke of Norfolk","Lavinia Fitzalan-Howard, Duchess of Norfolk"
"Bernard Fitzalan-Howard, 16th Duke of Norfolk",Lavinia Mary Strutt
"Bernard Howard, 12th Duke of Norfolk",Elizabeth Belasyse
"Bernard II, Duke of Saxe-Lauenburg",Adelheid of
"Bernard II, Duke of Saxe-Lauenburg",Pomerania-Stolp
"Bernhard I, Duke of Saxe-Meiningen",Marie Hedwig of Hesse-Darmstadt
"Bernhard II, Duke of Saxe-Meiningen",Marie Fredericka of Hesse-Kassel
"Bernhard III, Duke of Saxe-Meiningen",Princess Charlotte of Prussia
"Bernhard, Hereditary Prince of Baden",Stephanie Anne Kaul
"Berthold, Margrave of Baden","August 17, 1931"
"Berthold, Margrave of Baden",Baden-Baden
"Berthold, Margrave of Baden",Germany
"Berthold, Margrave of Baden",Princess Theodora of Greece and Denmark
"Beryl Anthony, Jr.",Sheila F. Anthony
"Bill Spencer, Jr.",(2009-present)
"Bill Spencer, Jr.",Katie Logan
"Bill Spencer, Sr.",(deceased)
"Bill Spencer, Sr.",(divorced 1988-1990)
"Bill Spencer, Sr.",Margo Maclaine Lynley
"Bill Spencer, Sr.",Marion Spencer
"Bingham Baring, 2nd Baron Ashburton",(1) Lady Harriet Montagu
"Bingham Baring, 2nd Baron Ashburton",(1805-1857)
"Bingham Baring, 2nd Baron Ashburton",(2) Louisa Stewart-Mackenzie (1827-1903)
"Birgitte, Duchess of Gloucester","Prince Richard, Duke of Gloucester"
"Blanche de Brienne, Baroness Tingry","William II de Fiennes, Baron of Tingry"
"Blanche of France, Duchess of Orléans","Philip of Valois, Duke of Orleans"
"Blanche of France, Duchess of Orléans","Philip, Duke of Orleans"
"Blanche of Navarre, Duchess of Brittany","John I, Duke of Brittany"
"Blanche of Navarre, Queen of France",Philip VI of France
"Bob Casey, Jr.",Terese Foppiano Casey
"Bob Jones, Jr.",Fannie May Holmes
"Bob Jones, Sr.",Mary Gaston Stollenwerck Jones
"Borjigit, Empress Hui Zhang",Shunzhi Emperor
"Borwin, Duke of Mecklenburg",Alice Wagner
"Bradley Jones, Jr.",Linda Jones
"Brenda Hale, Baroness Hale of Richmond",Anthony Hoggett (divorced; 1 child)
"Brenda Hale, Baroness Hale of Richmond",Julian Farrand
"Brendan Bracken, 1st Viscount Bracken",Unmarried
"Brian Gill, Lord Gill",Catherine Fox
"Brian Kerr, Baron Kerr of Tonaghmore",Gillian
"Brian Lenihan, Jnr",Patricia Ryan
