"Abraham Bradley, Jr.",Hannah Smith
Lyle Talbot,Marjorie Kramer (1937-?) (divorced)
Lyle W. Hillyard,Alice
Lyle Waggoner,Sharon Kennedy (1961-present)
Lyman Beecher,Harriet Beecher (desc.)
Lyman Beecher,Lydia Beecher (desc.)
Lyman Beecher,Roxana Beecher (desc.)
Lyman Trumbull,Julia Maria Janyne Trumbull
Lyman Trumbull,Mary Jane Ingraham Trumbull
Lyman U. Humphrey,Amanda Leonard
Lyman Ward,(1986-1992)
Lyman Ward,Cindy Pickett
Lymari Nadal,(2002&ndash;present)
Lymari Nadal,Edward James Olmos
Lyn Collingwood,Richard Collingwood
Lyn McLaughlin,Matt McLaughlin
Lyn Moran,Sam Moran
Lynda Bellingham,Greg Smith
Lynda Bellingham,Michael Pattemore
Lynda Bellingham,Nunzio Peloso
Lynda Bryans,(married 1992 - present)
Lynda Bryans,Michael Nesbitt
Lynda Bryans,Mike Nesbitt
Lynda Day George,(1970-1983) (one daughter)
Lynda Day George,Christopher George
Lynda Day George,Doug Cronin (1985-present)
Lynda Day George,Joseph Pantano (1963&ndash;1970) (one son)
Lynda Keane,1970
Lynda Keane,Greg Anderson
Lynda Moss,widowed
Lynda Stoner,(divorced)
Lynda Stoner,Peter Sumner
Lynda Waltho,Steve Waltho
Lyndon A. Smith,Dora Rogers
Lyndon B. Johnson,Lady Bird Johnson
Lyndon Carlson,Carole Moss
Lyndon LaRouche,(1977&ndash;present)
Lyndon LaRouche,Helga Zepp
Lyndon LaRouche,Helga Zepp-LaRouche
Lyndon LaRouche,Janice Neuberger (1954&ndash;1963)
Lyndsey Pfaff,Dave Volders
Lynette Scavo,(husband)
Lynette Scavo,Tom Scavo
Lynn A. Davis,Elsie Sue Davis
Lynn Abbey,(to 1993)
Lynn Abbey,Robert Asprin
Lynn Bari,1939
Lynn Bari,1943
Lynn Bari,1950
Lynn Bari,1955
Lynn Bari,1972
Lynn Bari,Nathan Rickles
Lynn Bari,Sidney Luft
Lynn Bari,Walter Kane
Lynn Bayonas,Luis Bayonas
Lynn Carlin,Edward Carlin (1963-1974)
Lynn Carlin,John Wolfe (1983-Present)
Lynn Carlin,Peter Hall (1958-1960 divorced)
Lynn Collins,(2008-present)
Lynn Collins,Steven Strait
Lynn Dean,Jacqueline Miles Dean
Lynn Deerfield,Bill Beutel
Lynn Finnegan,Peter Finnegan
Lynn Fontanne,(1922-1977)
Lynn Fontanne,Alfred Lunt
Lynn Hemingway,Sherma
Lynn Herman,Barbara
Lynn Hung,(partner)
Lynn Hung,Aaron Kwok
Lynn Jenkins,"Scott Jenkins, (1984-2009; divorced)"
Lynn Kohlman,Arnold LaGuardia
Lynn Lowe,Nedra Jean Bledsoe Lowe
Lynn Morley Martin,Harry D. Leinenweber
Lynn Nottage,Tony Gerber
Lynn Pett,Kathleen Pett
Lynn Redgrave,John Clark
Lynn Redgrave,John Clark (actor/director)
Lynn Schenk,C. Hugh Friedman (1972&ndash;)
Lynn Swann,Charena Swann
Lynn Wardlow,Sheryl
Lynn Westmoreland,Joan Westmoreland
Lynn Woolsey,Divorced
Lynn de Silva,Lakshmi de Silva
Lynn-Holly Johnson,Kelly Givens (1993 - present)
Lynne Abraham,(deceased)
Lynne Abraham,Frank Ford
Lynne Abraham,Frank Ford (broadcaster)
Lynne Carver,William Mullaney (1948-1955)
Lynne Cheney,Dick Cheney
Lynne Cooper Harvey,Paul Harvey
Lynne Frederick,David Frost
Lynne Frederick,David Frost (broadcaster)
Lynne Frederick,Peter Sellers
Lynne Jones,Chris Kirk
Lynne Neagle,Huw Lewis
Lynne Ramsay,Rory Kinnear
Lynne Roberts,"William Englebert, Jr. (1941&ndash;1944)"
Lynne Roberts,Don Sebastian (1971&ndash;1978)
Lynne Roberts,Hyman B. Samuels (1953&ndash;1961)
Lynne Roberts,Louis John Gardella (1944&ndash;1952)
Lynne Spears,James Parnell Spears (1975-2002)
Lynne Yelich,Matt Yelich
Lynwood Lewis,Megan Milliken
Lyoto Machida,Fabyola
Lyssa Chapman,"Brahman ""Bo"" Galanti (2009-present)"
Lyudmila Putina,Vladimir Putin
Lyudmyla Denisova,Oleksandr Ivanovich Denisov
László Bíró,Elsa Schick
Léo Kemner Laflamme,1941
Léo Kemner Laflamme,A. L.
Léo Kemner Laflamme,Normandin
Léo Kemner Laflamme,The Canadian Parliamentary Guide
Léo Kemner Laflamme,m. 22 May 1922
Léon M'ba,", Charles Darlington mentions that M'ba had several wives, under the traditional Gabonese practice of"
Léon M'ba,". Other than Pauline, their names are unknown."
Léon M'ba,"In his book,"
Léon M'ba,13
Léon M'ba,1968
Léon M'ba,African Betrayal
Léon M'ba,Darlington
Léon M'ba,Pauline M'ba
Léon M'ba,polygamy
Léon Méthot,Hortense Normand
Léon Raymond,1952
Léon Raymond,Normandin
Léon Raymond,Pierre G.
Léon Raymond,The Canadian Parliamentary Guide
Léon Raymond,m. 1 July 1930
Léonard Tremblay,1952
Léonard Tremblay,Beatrice Cote
Léonard Tremblay,Normandin
Léonard Tremblay,Pierre G.
Léonard Tremblay,The Canadian Parliamentary Guide
Léonard Tremblay,m. 17 May 1920
Lê Phụ Trần,Princess
Lída Baarová,Jan Kopecky (1949-1956)
Lída Baarová,Kurt Lundvall (1958-1980)
Lü Zhengcao,Liu Sha
Lý Chiêu Hoàng,(1224&ndash;1237)
Lý Chiêu Hoàng,(1258&ndash;1278)
Lý Thái Tổ,9 empresses
M. A. Baby,Betty Louis
M. A. Wazed Miah,Sheikh Hasina Wazed
M. Anjan Kumar Yadav,M. Nagamani Yadav
M. Appadurai,Chandramathi S.
M. B. Rajesh,Ninitha Kanicheri
M. Clifford Townsend,Nora Adele Harris
M. G. George Muthoot,Sara George
M. G. Ramachandran,(died in 1996)
M. G. Ramachandran,Sathanandavathi (
M. G. Ramachandran,Thangamani (
M. G. Ramachandran,V. N. Janaki
M. G. Ramachandran,deceased
M. George Muthoot,Amini George Muthoot
M. H. M. Ashraff,Ferial Ismail Ashraff
M. Henry Wall,"December 26, 1970"
M. Henry Wall,"Lynn, MA"
M. Henry Wall,1970
M. Henry Wall,Daily Evening Item
M. Henry Wall,Former Mayor Wall Stricken Dies at 71
M. Henry Wall,The Lynn Daily Evening Item
M. Henry Wall,Theresa V. Rich
M. Hoke Smith,"Marion ""Birdie"" Cobb Smith"
M. J. Akbar,Mallika Joseph
M. J. Nolan,Mary Forde
M. J. Perera,Mrs.Gnathie Ratna Perera
M. K. Azhagiri,Kandhi Azhagiri
M. K. Stalin,Durga alias Saantha
M. Karunanidhi,Dayalu
M. Karunanidhi,Padmavathi(
M. Karunanidhi,Rajathi
M. Karunanidhi,deceased
M. Kayveas,Blanche Olbery
M. M. Keeravani,Valli
M. Manoharan,S. Pushpaneela
M. Night Shyamalan,Bhavna Vaswani (1993-Present)
M. P. Veerendra Kumar,Usha Veerendra Kumar
M. Palaniyandi,Punithavalli
M. Patanjali Sastri,M. Kamakshi Ammal
M. Ramadass,R. Dhan Lakshami
M. S. K. Bhavani Rajenthiran,Late M.S.K. Rajenthiran
M. S. Sellasamy,Married
M. S. Sundara Rajan,Mrs. Lalitha Sundara Rajan
M. Shahid,Hasiba Pravin
M. Shivanna,C. Deepa
M. T. Vasudevan Nair,Kalamandalam Saraswathi
M. Teresa Paiva-Weed,Mark
M. V. Rajasekharan,Girija Rajashekaran
M. Vijayakumar,Sreekala
M.P. Vijay Kumar,Ananthi
MSN Murthy,Dr. Pantula Rama
Ma Ho-ling,Qin Houxiu
Ma Lik,Leung Wai-ching
Ma Ying-jeou,Christine Chow Ma
Mabel Digby,"Sir Gerald FitzGerald, Lord of Dromana and Decies"
Mabel Digby,Donagh O'Brien
Mabel FitzHamon of Gloucester,"Robert, 1st Earl of Gloucester"
Mabel Howard,Never married
Mabel King,1967
Mabel King,1989
Mabel King,Melvin King
Mabel Normand,Lew Cody
Mabel Paige,C.W. Ritchie (?-1931) (his death)
Mabel Simmons,"(husband, deceased)"
Mabel Simmons,(ex-husband)
Mabel Simmons,Johnny Simmons
Mabel Simmons,Willie Humphrey
Mabel Taliaferro,"ACTRESS'S BABY WANDERS.; Mabel Taliaferro's Child is Found in a Wood ... Thursday January 6, 1921"
Mabel Taliaferro,"FRED THOMPSON MARRIES.;Head of Thompson &amp; Dundy Weds Miss Mabel Taliaferro ...Saturday December 1, 1906"
Mabel Taliaferro,"MABEL TALIAFERRO A BRIDE.;Actress Married to Tom Carrigan, Her Leading Man ...Thursday July 10, 1913"
Mabel Taliaferro,"MABEL TALIAFERRO SUES.;Charges Her Husband, Fred Thompson, with Cruelty in Divorce Action"
Mabel Taliaferro,"Thompson(December 1, 1906 - December 1911)"
Mabel Taliaferro,*2.Thomas Carrigan
Mabel Taliaferro,*3.Joseph O'Brien (1 child)
Mabel Taliaferro,*4.Robert Ober
Mabel Taliaferro,1.Frederick
Mabel Taliaferro,New York Times
Mac Huddleston,Flavia
Mac King,Jennifer Sils
Mac Mohan,Mini
Mac Sweeney,Catherine
Mac Thornberry,Sally Thornberry
MacGillivray Milne,Natalie Elise Blauvelt
Macaulay Culkin,Rachel Miner
Macbeth of Scotland,Gruoch
Macbeth of Scotland,Gruoch of Scotland
Macdonald Carey,Elizabeth Heckscher (1943-1969) (divorced) 6 children
Machal Lalung,None
Machine Gun Kelly,Katherine Kelly
Maciej Giertych,Antonina Giertych nee Jachink
Mack Gerhardt,Tiffy Gerhardt
Mack Mattingly,"(1) Carolyn Mattingly, 1957&mdash;1997"
Mack Mattingly,"(2) Leslie Davisson Mattingly, 1998&mdash;present"
Mack McCarter,Judith McCarter
Mack Swain,Cora Claire King (1880-?)
Mackenzie Bowell,Harriet Moore
Mackenzie Browning,(annulled) [2003]
Mackenzie Browning,Billy Abbott
Mackenzie Crook,Lindsay Crook
Mackenzie Phillips,1979
Mackenzie Phillips,1981
Mackenzie Phillips,1996
Mackenzie Phillips,2000
Mackenzie Phillips,Jeff Sessler
Mackenzie Phillips,Michael Barakan
Mackenzie Phillips,Shane Fontayne
Macrinus,(?)
Macrinus,Nonia Celsa
Macy Alexander Sharpe,(dissolved by his death; 1998)
Macy Alexander Sharpe,(divorced)
Macy Alexander Sharpe,(invalid; 2002-2003)
Macy Alexander Sharpe,(married at her death; 2003)
Macy Alexander Sharpe,Deacon Sharpe
Macy Alexander Sharpe,Grant Chambers
Macy Alexander Sharpe,Lorenzo Barelli
Macy Alexander Sharpe,Thorne Forrester
Macy Morse,Paul Morse
Madame Montour,"Carondawana, an"
Madame Montour,"chief, possibly others"
Madame Montour,Oneida
Madame Montour,Oneida tribe
Madame Ngo Dinh Nhu,Ngo Dinh Nhu
Madame du Barry,Comte Guillaume du Barry
Madampu Kunjukuttan,Savithri Antharjanam (late)
Madan Lal Sharma,Chano Devi
Maddie Corman,(1998-present) 3 children
Maddie Corman,Jace Alexander
Madeleine A. Pickens,(1988-2000)
Madeleine A. Pickens,(2005-present)
Madeleine A. Pickens,1) Mr. Richter
Madeleine A. Pickens,Allen E. Paulson
Madeleine A. Pickens,T. Boone Pickens
Madeleine Albright,(1959-1982) (divorced)
Madeleine Albright,Joseph Medill Patterson Albright
Madeleine Astor,(m. 1911-1912)
Madeleine Astor,(m. 1916-1933)
Madeleine Astor,(m. 1933-1938)
Madeleine Astor,Enzo Fiermonte
Madeleine Astor,John Jacob Astor IV
Madeleine Astor,William Karl Dick
Madeleine Bordallo,(widowed)
Madeleine Bordallo,Ricardo Bordallo
Madeleine Carroll,(1942&ndash;1946) (divorced)
Madeleine Carroll,Andrew Heiskell (1950&ndash;1965) (divorced)
Madeleine Carroll,Captain Phillip Astley (1931&ndash;1940) (divorced)
Madeleine Carroll,Henri Lavorel (1946&ndash;1949) (divorced)
Madeleine Carroll,Sterling Hayden
Madeleine Henrey,Robert Henry
Madeleine LeBeau,(1938-1942)
Madeleine LeBeau,(1988-2009)
Madeleine LeBeau,Marcel Dalio
Madeleine LeBeau,Tullio Pinelli
Madeleine M. Kunin,(1) Arthur Kunin
Madeleine M. Kunin,(2) John Hennessey
Madeleine Moon,Steve Moon
Madeleine Orr,John Hearly (1952-79)
Madeleine Potter,Patrick Fitzgerald (divorced)
Madeleine Renaud,(1940&ndash;1994)
Madeleine Renaud,Charles Granval (1922&ndash;19??)
Madeleine Renaud,Jean-Louis Barrault
Madeleine Sherwood,"Robert Sherwood (Montreal, Canada)"
Madeleine Stowe,Brian Benben
Madeleine de La Tour d'Auvergne,Lorenzo II de' Medici
Madeleine of Valois,James V of Scotland
Madeline Kahn,John Hansbury (October-December 1999) (her death)
Madeline Lee Gilford,(1949-1990;
Madeline Lee Gilford,Jack Gilford
Madeline Lee Gilford,his death
Madelon Vriesendorp,Rem Koolhaas
Madelyn Dunham,(1940&ndash;1992)
Madelyn Dunham,Stanley Armour Dunham
Madge Bellamy,Logan Metcalf (1928) (divorced)
Madge Evans,(1939-1981) (her death)
Madge Evans,Sidney Kingsley
Madge Kennedy,Harold Bolster (1918-1927)
Madge Kennedy,William B. Hanley Jr. (?-?)
Madge Sinclair,Dean Compton
Madhavi (actress),Ralph Sharma
Madhavrao Scindia,Madhavi Raje
Madhoo,Anand Shah (19 February 1999)
Madhu (actor),Lakshmi
Madhu Goud Yaskhi,Shuchee Madhu
Madhu Sapre,Gian Maria
Madhubala,(Her death)
Madhubala,1960
Madhubala,1969
Madhubala,Kishore Kumar
Madhumitha,Shiva Balaji
Madhusudan Mistry,Smt. Meenaben
Madhusudhan Reddy Takkala,Lakshmi Devi
Madison S. Perry,Martha Starke Peay Perry
Madlyn Rhue,(1962-1970) (divorced) 1 child
Madlyn Rhue,Tony Young
Madlyn Rhue,Tony Young (actor)
Mado Lamotte,Shirley (her lesbian cat)
Madoff investment scandal,Ruth Alpern Madoff
Madolyn Smith Osborne,(?-Present)
Madolyn Smith Osborne,Mark Osborne
Madolyn Smith Osborne,Mark Osborne (hockey player)
Mads Mikkelsen,Hanne Jacobsen (1987-present)
Mady Christians,Dr. Sven von Mueller
Mae Busch,(1915-1922} (divorced)
Mae Busch,Francis McDonald
Mae Busch,John Earl Cassell (1926-1929} (divorced)
Mae Busch,Thomas C. Tate (1936-1946} (her death)
Mae Clarke,Herbert Langdon (1946-divorced)
Mae Clarke,Lewis Brice (1928-divorced)
Mae Clarke,Stevens Bancroft (1937-divorced)
Mae Costello,Maurice Costello
Mae Marsh,1918
Mae Marsh,1968
Mae Marsh,Louis Lee Arms
Mae Murray,(1918&ndash;1925)
Mae Murray,(1926&ndash;1934)
Mae Murray,David Mdivani
Mae Murray,Jay O'Brien (1916&ndash;1917)
Mae Murray,Mdivani
Mae Murray,Robert Z. Leonard
Mae Murray,William M. Schwenker Jr. (1908&ndash;1909)
Mae Questel,"(Dec. 22, 1930&ndash;?; divorced)"
Mae Questel,"(Nov. 19, 1970&ndash;?; his death)"
Mae Questel,Jack E Shelby
Mae Questel,Leo Balkin
Mae Schunk,William Schunk
Mae West,"Frank Szatkus, stage name"
Mae West,Frank Wallace
Mae West,Guido Deiro
Mae Yih,Stephen Yih (deceased)
Maeda Narinaga,Matsudaira Koto; later Takatsukasa Takako
Maeda Toshiie,Maeda Matsu
Maeda Toshinaga,Ei-hime
Maeve Quinlan,(1996 &ndash; 1999)
Maeve Quinlan,(divorced)
Maeve Quinlan,Tom Sizemore
Mag Ruffman,(1989 - Present)
Mag Ruffman,Daniel Hunter
Magda Gabor,(1970-1971)
Magda Gabor,George Sanders
Magda Gabor,Jan de Bichovsky (1937-1946)
Magda Gabor,Sidney R. Warren (1947-1950)
Magda Gabor,Tibor Heltai (1972-1973)
Magda Gabor,Tony Gallucci (1956-1957)
Magda Gabor,William Rankin (1946-1947)
Magda Lupescu,Carol II of Romania
Magdalen Dacre,"Anthony Browne, 1st Viscount Montagu"
Magdalena Graaf,1995
Magdalena Graaf,1996
Magdalena Graaf,1999
Magdalena Graaf,Magnus Hedman
Magdalena Graaf,Unknown
Magdalena Sibylle of Saxe-Weissenfels,"Friedrich I, Duke of Saxe-Gotha-Altenburg"
Magdalena of Saxony,"Joachim II Hector, Elector of Brandenburg"
Magdi Allam,Valentina Colombo
Maggie Carlton,Merritt
Maggie Cheung,Olivier Assayas
Maggie Gyllenhaal,Peter Sarsgaard
Maggie Horton,(deceased)
Maggie Horton,Mickey Horton
Maggie McNamara,David Swift
Maggie McNamara,David Swift (director)
Maggie O'Farrell,William Sutcliffe
Maggie Philbin,1982
Maggie Philbin,1993
Maggie Philbin,Keith Chegwin
Maggie Roswell,(1987-present)
Maggie Roswell,Hal Rayle
Maggie Smith,(1967-1974; divorced)
Maggie Smith,(1975-1998; widowed)
Maggie Smith,Beverley Cross
Maggie Smith,Robert Stephens
Magic Alex,Eufrosyne Mardas (nee Doxiades)
Magicians of Xanth,#Iris
Magicians of Xanth,#Trent
Magicians of Xanth,Chameleon
Magicians of Xanth,Iris
Magicians of Xanth,The family of Ebnez of Xanth#Chameleon
Magicians of Xanth,Trent
Magnus Brahe (1564–1633),Brita Stensdotter Leijonhufvud
Magnus Brahe (1564–1633),Helena Bielke
Magnus Heinason,"Sophia Axeldatter Gyhnterberg, (Norwegian)"
Magnus IV of Sweden,Blanka of Namur
Magnus Malan,Magrietha Johanna van der Walt
Magnus Samuelsson,Kristin Samuelsson
Magnus von Braun (senior),1910
Magnus von Braun (senior),1959
Magnus von Braun (senior),Emmy von Quistorp
Magnus von Braun,"Nathalie ""Nan"" Heaton-Woodruff (1957-2003)"
Magnus von Braun,Hildegard Buchhold (1950-1955)
Magtanggol Gunigundo II,Adelma Yang-Gunigundo
Magunta Sreenivasulu Reddy,Geeta Latha Magunta
Mah Bow Tan,Dr Sheryn Kaye Von Senden
Maha Sakdi Polsep,Princess Daravadi
Maha Senanurak,Princess Samleewan
Maha Sura Singhanat,Princess Yok
Mahadeorao Sukaji Shivankar,Mangla
Mahalalel,Dinah (cousin)
Mahamegha Bahan Aira Kharbela Swain,Kalpana Swain
Mahathir bin Mohamad,Siti Hasmah
Mahaveer Bhagora,Lajwanti Bhagora
Mahaveer Prasad,Late Udasi Devi
Mahboob Zahedi,Mussammat Hamida Zahedi
Mahdi Bemani Naeini,Mehri Garmsir
Mahendra Bhandari,Sushma Bhandari
Mahendra Chand Vinod,Gyan Kaur Vinod
Mahendra Chaudhry,(married 1965)
Mahendra Chaudhry,Virmati Chaudhry
Mahendra Prasad Nishad,Gomti Nishad
Mahendralal Sarkar,Rajkumari
Maher Arar,Monia Mazigh
Mahesh Babu,Namrata Shirodkar
Mahesh Bhatt,- Present
Mahesh Bhatt,Kiran Bhatt 1970- 90
Mahesh Bhatt,Soni Razdan
Mahesh Kumar Kanodia,Smt. Umaben Kanodia
Mahfiruze Hatice Sultan,Ahmed I
Mahidol Adulyadej,Srinagarindra
Mahima Chaudhry,Bobby Mukherjee (2006 - present)
Mahinda Rajapaksa,Shiranthi Wickremesinghe
Mahlon Hamilton,Aleta Farnum 	(1918 - 1925)
Mahmoud Abbas,Amina Abbas
Mahmoud Ahmadinejad,(m. 1977)
Mahmoud Ahmadinejad,2009-11-15
Mahmoud Ahmadinejad,2009-12-08
Mahmoud Ahmadinejad,Associated Press
Mahmoud Ahmadinejad,Azam Sadat Farahi
Mahmoud Ahmadinejad,Google News
Mahmoud Ahmadinejad,Iran's first lady makes rare speech at Rome summit
Mahmoud Ahmadinejad,http://www.google.com/hostednews/ap/article/ALeqM5jIeu44iAXloop7Z5WGH9n6rz5ZzwD9C03NU80
Mahmoud Kabil,Leila Moharram (Divorced)
Mahmoud Khayami,Zahra Khayami
Mahmoud Mirza,Effat Ashtiani
Mahmoud el-Meliguy,Alwiya Gamil (1939 &ndash; 1983)
Mahmud Salem Horan Mohammed Mutlak Al Ali,Married
Mahnaz Afkhami,Gholam Reza Afkhami
Mai Zetterling,(1944&ndash;1953) (divorced)
Mai Zetterling,David Hughes (1958&ndash;1979) (divorced)
Mai Zetterling,Tutte Lemkow
Maia Jeffries,"Jessica ""Jay"" Copeland"
Maia Jeffries,(2006 - 2007; separated)
Maia Jeffries,deceased
Maida Coleman,divorced
Maila Nurmi,(1949 -19??
Maila Nurmi,Dean Riesner
Maila Nurmi,Fabrizio Mioni (1961 &ndash; 19??)
Maile Shimabukuro,Ianuali Kaonohiokalanikoholua
Mailikukahi,Kanepukoa
Main characters of seaQuest DSV season 1,Benjamin Krieg (divorced)
Main characters of seaQuest DSV season 1,Helen Crocker (divorced)
Main characters of seaQuest DSV season 1,Katherine Hitchcock (divorced)
Mairead McGuinness,Tom Duff
Mairembam Koireng Singh,(L) Kiyam Ningol Mairembam Ongbi Ibemhal Devi
Maisie Wylde,(2009&ndash;)
Maisie Wylde,List of minor Emmerdale characters#Tristan Foster
Maisie Wylde,Tristan Foster
Maitree Wickramasinghe,Ranil Wickremesinghe
Majeedah Bolkiah,Khairul Khalil
Majeedah Bolkiah,Pengiran Anak Khairul Khalil
Majeedah Bolkiah,YAM
Majel Barrett,1969
Majel Barrett,1991
Majel Barrett,Gene Roddenberry
Major Andre Andrews,Sarah Mehitabel Hosmer
Major James Coldwell,Nora Gertrude Dunsford Coldwell
Major Owens,Maria Cuprill
Major Ridge,Kate Parris
Major Ridge,Sehoyah (Susannah Catherine Wickett)
Major Thomas Jones,Freelove Townsend
Maka Kotto,Caroline St-Hilaire
Makiko Esumi,(divorced)
Makiko Esumi,Rowland Kirishima
Makiko Esumi,Shin Hirano
Makino Tadakuni,Mizuno Tsuneko
Makis Voridis,"Danai Michelakos, pediatrician"
Mako Iwamatsu,Shizuko Hoshi
Maktoum bin Rashid Al Maktoum,Sheikha Alia bint Khalifa bin Saeed al Maktoum
Mal Brough,Sue Brough
Mal Evans,Lily (Lil) Evans
Mala Powers,M. Hughes Miller (1970-1989) (his death)
Mala Powers,Monte Vanton (1954-?) (divorced) 1 son
Mala Sinha,C. P. Lohani
Malachi Martin (Australian murderer),Catherine Robinson
Malachi Throne,Marjorie Throne 1992&ndash;present
Malaika Arora Khan,(1998-present)
Malaika Arora Khan,Arbaaz Khan
Malaika Arora Khan,Arbaaz Khan (Indian actor)
Malashri,Ramu
Malayattoor Ramakrishnan,Krishnaveni (1935-1999)
Malcolm Alexander MacLean,Margaret Anne Cattanach
Malcolm Allen (politician),Peggy Allen
Malcolm Borg,Sandra Borg
Malcolm Brodie,Christine Brodie
Malcolm Bruce,Veronica Jane Wilson (1969-1992); Rosemary Vetterlein (1998-)
Malcolm Campbell,"3) Betty Nicory, (Aug 1945-his death)"
Malcolm Campbell,1) Marjorie D. Knott (Jul 1913-1915div.)
Malcolm Campbell,2) Dorothy Evelyn Whittall (1920-1940div) 2 children
Malcolm Derk,Erin Goedegebuure
Malcolm F. Marsh,Shari Long
Malcolm Fraser (philanthropist),Charlotte Fraser
Malcolm Fraser,Tamie Fraser
Malcolm Glazer,Linda Glazer
Malcolm III of Scotland,Ingebjorg Finnsdotter
Malcolm III of Scotland,Margaret of Wessex
Malcolm Lowry,Jan Gabriel (1934-1937)
Malcolm Lowry,Margerie Bonner (1940-1957 (his death))
Malcolm MacLeod (clan chief),possibly 2
Malcolm Mackay,Ruth
Malcolm McDowell,(1975-1980)
Malcolm McDowell,(1980-1990)
Malcolm McDowell,Kelley Kuhr (1991-present)
Malcolm McDowell,Margot Bennett
Malcolm McDowell,Mary Steenburgen
Malcolm McKenna,Priscilla McKenna
Malcolm Moss,(1) Vivian Lorraine Peake (d. 1997)
Malcolm Moss,(2) Sonya Alexandra McFarlin
Malcolm Nichols,"Edith M. Williams (December 16, 1915, (died 1925)), Carrie M. Williams (1926)."
Malcolm Reynolds,List of characters in the Firefly universe#Saffron
Malcolm Reynolds,Saffron -- Yo-saff-bridge
Malcolm Richard Wilkey,Emma Secul Wilkey 1959&ndash;2009 (widow)
Malcolm Ross (balloonist),Marjorie Martin
Malcolm Smith (U.S. politician),Michele Lisby
Malcolm Turnbull,Lucy Turnbull
Malcolm Wallop,Isabel Thomason Wallop
Malcolm Wicks,Margaret Wicks
Malcolm Wilson (governor),Katharine McCloskey
Malcolm Winters,(dissolved by her death; 1996)
Malcolm Winters,(divorced; 1997-2000)
Malcolm Winters,Keesha Monroe
Malcolm Winters,Olivia Barber Winters
Malcolm Winters,The Young and the Restless minor characters#Keesha Monroe Winters
Malek Maktabi,Nayla Tueni
Malgosia Tomassi,Stacy Keach
Malin Persson,Damiano Mazzarella
Malin Åkerman,(2007-present)
Malin Åkerman,Roberto Zincone
Malinda Williams,"(1999-2003), DJ D-Nice (2008)"
Malinda Williams,Mekhi Phifer
Malini Fonseka,"Upali Senanayake is the first marriage in 1965, 2nd Lucky Dias"
Mallikarjun Kharge,Radhabai Kharge
Mallipudi Raju Pallam Mangapati,Mamatha
Mallojula Koteswara Rao,Sujata
Mallory Horne,Anne Livingston
Mallory O'Brien,"Married, husband's name unknown. Dated"
Mallory O'Brien,Sam Seaborn
Maltbie Davenport Babcock,Katherine Tallman Babcock
Mamadou Tandja,Laraba Tandja
Mamata Shankar,Chandrodoy Ghosh
Mamidipudi Venkatarangayya,Venkamma
Mamie Eisenhower,Dwight D. Eisenhower
Mamie Van Doren,Jack Newman (1950-1950)
Mamie Van Doren,Lee Meyers (1966-1969)
Mamie Van Doren,Ray Anthony (1955-1961)
Mamie Van Doren,Ross McClintock (1972-1973)
Mamie Van Doren,Thomas Dixon (1979-present)
Mamo Clark,James M. Rawley
Mamoni Raisom Goswami,Madhaven Raisom Ayengar (deceased)
Mamye BaCote,Theodore
Manabendra Shah,Indira Shandil
Manan Trivedi,Surekha
Manasseh Sogavare,Emmy Sogavare
Manda Jagannath,M. Savitri
Mandali Venkata Krishna Rao,Prabhavathi Devi
Mandira Bedi,Raj Kaushal
Mandla Mandela,Thando Mabunu
Mandy Musgrave,(engaged)
Mandy Musgrave,Matt Cohen
Mandy Musgrave,Matt Cohen (actor)
Mandy Patinkin,(1980-present)
Mandy Patinkin,Kathryn Grody
Maneka Gandhi,(Deceased)
Maneka Gandhi,Sanjay Gandhi
Manepalli Narayana Rao Venkatachaliah,Parvathi Venkatachaliah
Manfred Becker,Susan Meggs
Manfred Guttmacher,", MD"
Manfred Guttmacher,Carola Blitzman Guttmacher
Manfred Guttmacher,Carola Eisenberg
Manfred of Sicily,Beatrice of Savoy
Manfred of Sicily,Helena Angelina Doukaina
Mangasha Seyum,Aida Desta
Mangesh V. Nadkarni,Meera Mallapur
Mani Charenamei,Lois Panmei
Mani Liaqat,None
Mani Madhava Chakyar,Smt. P.K Kunjimalu Nangiaramma
Mani Menon,Dr. Shameem Menon
Mani Ratnam,Suhasini Mani Ratnam
Mani Ratnam,Suhasini Ratnam
Mani Shankar Aiyar,Suneet Mani Aiyar
Maniam Moorthy,Kaliammal Sinnasamy
Manikrao Hodlya Gavit,Surekha Manikrao Gavit
Manilal Doctor,Jayakumari Devi
Manilyn Reynes,Aljon Jimenez
Manish Makhija,Pooja Bhatt
Manisha Koirala,Samrat Dahal
Manivannan,Sengamalam
Manjari Joshi,Prof. Hemant Joshi
Manjot Singh,bachelor
Manju Warrier,(1998-present)
Manju Warrier,Dileep
Manju Warrier,Dileep (actor)
Manmohan Singh,(m. 1958)
Manmohan Singh,Gursharan Kaur
Manny Diaz,Robin Smith
Manny Mashouf,Neda Mashouf (divorced)
Manny Mori,Elina Ekiek
Manny Santos,"Jason ""Jay"" Hogart (Engaged)"
Manny Villar,Cynthia Villar
Mano Wijeyeratne,Dushyanthi Wegodapola (first marriage)Barathi Wijeratne (2nd spouse)
Manohara Odelia Pinot,(2008-present)
Manohara Odelia Pinot,Tengku Muhammad Fakhry
Manoj Bajpai,Neha (Sabana Khan)
Manoj Bharathiraja,Nandhana
Manoj Kumar (politician),Pushpa Devi
Manoj Kumar,Shashi Goswami
Manorama Madhwaraj,Late M. Madhwaraj
